degree_program,first_semester_fee,subsequent_fee,total_fee
M. Sc (Hons.) /M. Phil (All Morning Program),59540,48950,206390
"M. Phil /Botany/ Zoology/ Physics, Math, Chemistry and M.Phil. Biochemistry (E )",90590,83710,341720
MBA (2 Years)/MS Finance / MS (Management & Marketing) Specialization (E ),90590,83710,341720
"MS(Computer Science) /MS (Software Engineering) /MS Bioinformatics (E )/M.Sc. (Hons.) Envir. Science/ M. Phil Microbiology, Biotechnology, Food Science Technology , Human Nutrition & Dietetics (E )",101450,95210,387080
M.Phil. Economics (E )/M. Phil (Sociology )/ M.Phil Linguistics (E ),82225,73975,304150
M.Phil. Economics/M.Phil. Sociology (Class on Saturday- Sunday) (W ),82225,73975,304150
M.Phil. Education/ (Class on Saturday-Sunday) (W ),82225,73975,304150
MBA (Exec) (Class on Saturday-Sunday) (W ),90590,83710,341720
Ph. D (with Scholarship) (M),98725,81830,671535
Ph. D (with out Scholarship) (M),98725,81830,671535
Ph.D. Computer Science (M),107085,92040,751365
"M. Phil /Botany/ Zoology/ Physics, Math,Chemistry (M )",59540,48950,206390
"M. Phil /Botany/ Zoology/ Physics, Math,Chemistry (E )",90585,83710,341715
"M.Sc. (Hons.) /M.Phil. Agronomy, Soil Scincnce, Horticulture, Plant Pathology, Food Scince & Technology, Plant Breeding & Genetics, Enviornmental Sciences (Morning Program) (Outsider)",59540,48950,206390
M.S. Computer Science (Outsider),59540,48950,206390
"M. Phil /Botany/ Zoology/ Chemistry, Math (Outsider) (Morning Program)",59540,48950,206390
"M.Sc. (Hons.) /M.Phil. Agronomy, Entomology, Soil Scincnce, Horticulture, Plant Pathology, Agri. Extension, Enviornmental Sciences, Plant Breeding & Genetics (Morning Program) (Outsider)",59540,48950,206390
"M.Sc. (Hons.) /M.Phil. Math, Botany, Zoology ,Physics, Chemistry (Evening Program) (Outsider) Proposed Fee w.e.f Winter Semester 2025-2026 (Constituent College) Proposed Fee w.e.f Winter Semester 2025-2026 (Constituent College, PARS ) Proposed Fee w.e.f Winter Semester 2025-2026 (Constituent College, Burewala ) Proposed Fee w.e.f Winter Semester 2025-2026 (Constituent College,Depalpur/Okara)",72875,55000,237875
"M.Sc. (Hons.) Poultry Scinece,Animal Nutrition (Morning Program) (Outsider)",59540,48950,206390
"M.Phil. Chemistry, Zoology (Morning Program) (Outsider)",59540,48950,206390
M.S. Computer Science/ MS Human Nutrition & Dietetics (M) (Morning Program) (Outsider),59540,48950,206390
Ph.D. Poultry Sciences (Outsider),77550,66050,539900
MBA (Exec) (Class on Saturday-Sunday) (Outsider),81675,77550,314325
B.Sc. (Hons.) Agriculture (M),35000,41350,324450
BS Biotechnology (M ),35000,41350,324450
B.Sc. (Hons.) Environmental Sciences. (M),35000,41350,324450
BS Forestry (M),35000,41350,324450
B.Sc. (Hons.) Poultry Sciences (M),44000,49760,392320
B.Sc. (Hons.) Animal Sciences (M),44000,49760,392320
B.Sc. (Hons.) Dairy Sciences (M),44000,49760,392320
B.Sc. (Hons.) Human Nutrition & Dietetics (M),58415,64130,507325
B.Sc. (Hons.) Food Science Technology. (M),58415,64130,507325
B.Sc. Home Economics (M),40530,46245,364245
BS Fashion Design,40530,46245,364245
BS Physics (M),55050,60760,480370
BS Chemistry (M),55050,60760,480370
BS Botany (M),55050,60760,480370
BS Zoology (M),55050,60760,480370
BS Mathematics (M),55050,60760,480370
BS Biochemistry (M),55050,60760,480370
BS Bio Statistics (M),55050,60760,480370
BS Statistics (M),55050,60760,480370
BS Computer Science (M),60000,65000,515000
BS Software Engineering (M),60000,65000,515000
BS Information Technology (M),60000,65000,515000
BS Bioinformatics (M),55050,60760,480370
BS Artificial intelligence (M),60000,65000,515000
BS Data Science (M),60000,65000,515000
BS Data Analytics (M) Proposed Per Semester Fee from Session 2025- 2026 Semester wise Fee from Session 2025-2026 (Main Campus),55050,60760,480370
BS Fisheries and Aquaculture,55050,60760,480370
B.Sc. (Hons.) Agri. & Res. Eco. (M),44000,49760,392320
BBA Agribusiness (M),44000,49760,392320
BS Education (M),44000,49760,392320
BS Criminology (M ),44000,49760,392320
BS Sociology (M),44000,49760,392320
BS Development Studies,44000,49760,392320
BS Commerce (M),44000,49760,392320
BBA (M),44000,49760,392320
B.Ed. (Hons) (M ),44000,49760,392320
B.Sc. Agri. Engineering (M),55050,60760,480370
B.Sc. Food. Engineering (M),55050,60760,480370
B.Sc. Textile Technology (M),44000,49760,392320
B.Sc. Energy System Engineering (M),44000,49760,392320
B.Sc. Environmental Engineering (M),44000,49760,392320
Bachelor of Fine Arts.(BFA) (M ),40530,46245,364245
BS Pakistan Studies,30000,35000,275000
DVM. (M),75225,80780,802245
B.Sc. (Hons.) Microbiology (M),55050,60760,480370
Pharm D (M),142990,148545,1479895
BS English (M ),45000,50000,395000
B.Sc. (Hons.) Agriculture (E),59000,64250,508750
BS Biotechnology (E ),59000,64250,508750
B.Sc. (Hons.) Environmental Sciences. (E),59000,64250,508750
BS Forestry (E),59000,64250,508750
B.Sc. (Hons.) Human Nutrition & Dietetics ( E ),112655,118370,941245
B.Sc. (Hons.) Food Science Technology. (M),112655,118370,941245
BS Physics ( E ),59000,64250,508750
BS Chemistry ( E ),59000,64250,508750
BS Botany ( E ),59000,64250,508750
BS Zoology ( E ),59000,64250,508750
BS Mathematics ( E ),59000,64250,508750
BS Biochemistry ( E ),59000,64250,508750
BS Statistics ( E ),59000,64250,508750
BS Computer Science ( E ) Per Semester Fee from Session 2025-2026 Semester wise Fee from Session 2025-2026 (Main Campus),85000,90000,715000
BS Software Engineering( E ),85000,90000,715000
BS Information Technology ( E ),85000,90000,715000
BS Bioinformatics ( E ),59000,64250,508750
BS Artificial intelligence ( E ),85000,90000,715000
BS Bio Statistics (E),59000,64250,508750
BS Data Analytics (E ),59000,64250,508750
BS Data Science ( E ),85000,90000,715000
B.Sc. (Hons.) Agri. & Res. Eco. ( E ),66850,72550,574700
BBA Agribusiness ( E ),66850,72550,574700
BS Education( E ),66850,72550,574700
BS Sociology( E ),66850,72550,574700
BS Commerce ( E ),66850,72550,574700
BBA ( E ),75950,81660,647570
B.Ed. (Hons) ( E ),66850,72550,574700
BS Economics (E),66850,72550,574700
DVM. ( E ),142380,147935,1473795
B.Sc. (Hons.) Microbiology ( E ),86955,92670,735645
Pharm D ( E ),210145,215700,2151445
Bachelor of Fine Arts.(BFA) (E ),59000,64250,508750
BS English (E ),65000,70000,555000
BS Physics (M),35000,40000,315000
BS Chemistry (M),35000,40000,315000
BS Botany (M),35000,40000,315000
BS Zoology (M),35000,40000,315000
BS Mathematics (M),35000,40000,315000
BS Biochemistry (M),35000,40000,315000
BS Statistics (M),35000,40000,315000
BS Computer Science (M),55000,61000,482000
BS Software Engineering (M),55000,61000,482000
BS Information Technology (M),55000,61000,482000
BS English (M) EVENING DEGREES,35000,40000,315000
BS Physics (E),45000,50000,395000
Chemistry (E),45000,50000,395000
BS Botany (E),45000,50000,395000
BS Zoology (E),45000,50000,395000
